unqiue_id	response
2016MNRAS.456..512C__Kronberg_et_al._2004_Instance_3_956	"{
""Task"": [""determine the total jet/lobe energetics"", ""study their population evolution"", ""clarifying their role on the feedback for the evolution of non-thermal processes in large-scale structures""],
""Material"": [""galaxies"", ""radio jets"", ""radio lobes"", ""outflows"", ""central compact radio core"", ""GRGs"", ""intergalactic and intracluster medium"", ""universe"", ""AGN-dominated structures"", ""Low Frequency Array – LOFAR"", ""Australia Telescope Network Facility (ATNF)"", ""Square Kilometre Array (SKA)""],
""Technique"": [""radio observations"", ""Low-frequency radio observations"", ""high-frequency radio observations""],
""Process"": [""acceleration of cosmic rays"", ""feedback mechanism of AGNs"", ""seeding of large-scale magnetic fields"", ""detecting them over large areas of the sky""],
""Measure"": [""Mpc scales"", ""large cosmic scales"", ""high redshifts""],
""Concept"": [""extended radio emission"", ""phenomenology"", ""electron acceleration"", ""non-thermal processes"", ""large-scale structures""]
}"
2016ApJ...827...75L__Gal-Yam_et_al._2006_Instance_1	"Here is the output in JSON format:

{
""Task"": [""short-duration gamma-ray burst (SGRB) events"", ""long–short GRBs"", ""GW/SGRB association""],
""Material"": [""neutron star (NS)"", ""stellar-mass black hole (BH)"", ""gamma-ray burst (GRB)"", ""Laser Interferometer Gravitational-Wave Observatory (LIGO)"", ""VIRGO"", ""Fermi Gamma-ray Burst Monitor (GBM)""],
""Technique"": [""compact binary coalescence (CBC)"", ""gravitational wave (GW) radiation"", ""GW detectors""],
""Process"": [""mergers of compact objects"", ""binary compact object system coalescence""],
""Measure"": [""false alarm probability"", ""prompt emission properties""],
""Concept"": [""binary BH merger"", ""supernova-less long GRBs"", ""gravitational wave signal"", ""gamma-ray transient""]
}"
2020MNRAS.492.5152Z__Samarasinha_&_Mueller_2013_Instance_1_766	"{
""Task"": [""studying the long-term variations in the nucleus spin state"", ""investigating sublimation torques"", ""exploring the parameter space of orbits, mass-loss function and axis orientations""],
""Material"": [""asteroids"", ""nucleus"", ""3D shape model""],
""Technique"": [""averaging methods"", ""analytical approaches"", ""numerical schemes""],
""Process"": [""obtaining evolutionary equations"", ""investigating the parameter space"", ""exploring the 3D shapes""],
""Measure"": [""CO production rate variation"", ""solar distance"", ""time-scale of shape modification"", ""time-scale of wobbling excitation"", ""procession angle""],
""Concept"": [""YORP effects"", ""outgassing torques"", ""sublimation torques"", ""spin state"", ""orbital evolution"", ""mass loss"", ""shadowing"", ""self-heating"", ""asymmetry shape"", ""dynamical history""]
}"
2022ApJ...937L..35M__Boylan-Kolchin_2017_Instance_1	"Here is the output in JSON format:

{
""Task"": [""exploring the formation history of globular clusters"", ""searching directly for the earliest stages of globular cluster formation""],
""Material"": [""JWST observations"", ""globular clusters"", ""star formation complexes"", ""local globular clusters"", ""Sparkler""],
""Technique"": [""population synthesis models""],
""Process"": [""examining young massive star formation complexes"", ""fitting models to local globular clusters"", ""meeting in the middle""],
""Measure"": [""ages of local globular clusters"", ""scale length"", ""mass""],
""Concept"": [""globular cluster formation"", ""quiescent, evolved globular clusters"", ""young-intermediate stellar populations"", ""stellar population"", ""integrated starlight from SSPs"", ""lookback time"", ""epoch of observation"", ""redshifts"", ""universe age""]
}"
2020MNRAS.497...52H__Sereno_&_Umetsu_2011_Instance_1	"{
""Task"": [""comparing masses"", ""dynamical analysis"", ""WL analysis""],
""Material"": [""clusters"", ""galaxies"", ""Table 1"", ""Fig. 11"", ""Fig. 14""],
""Technique"": [""MCMC method"", ""dynamical analysis"", ""WL analysis"", ""tangential shear fitting"", ""spherical NFW profile""],
""Process"": [""computing dynamical masses"", ""deriving WL masses"", ""stacked shear profile""],
""Measure"": [""masses"", ""velocity dispersions"", ""shape noise""],
""Concept"": [""singular isothermal model"", ""substructures"", ""triaxiality"", ""virial mass"", ""unrelaxed clusters"", ""bimodal velocity distribution""]
}"
2018AandA...610A..61P__Glampedakis_et_al._2006_Instance_1	"{
""Task"": [""identification of the fundamental oscillation frequency"", ""parameter estimation""],
""Material"": [""neutron star"", ""high-density matter""],
""Technique"": [""theoretical models""],
""Process"": [""interpretation""],
""Measure"": [""frequencies"", ""magnetic field strength"", ""compactness"", ""shear velocity"", ""equation of state""],
""Concept"": [""elastic oscillations"", ""Alfvén oscillations"", ""coupled magneto-elastic oscillations"", ""superfluid component"", ""degeneracies in the parameter space"", ""stellar parameters"", ""radii""]
}"
2021AandA...654A..89P__Vincentelli_et_al._2021_Instance_1	"{
""Task"": [""spectral analysis"", ""characterise the hot corona and the relativistic reflection emission properties""],
""Material"": [""NuSTAR observation"", ""Swift/BAT spectrum"", ""IXPE"", ""eXTP""],
""Technique"": [""RELXILL reflection model"", ""relativistic reflection models"", ""X-ray polarimetry""],
""Process"": [""simultaneous fit""],
""Measure"": [""reflection strengths"", ""cutoff energies"", ""hot corona temperature"", ""optical depth""],
""Concept"": [""hot corona"", ""relativistic reflection emission"", ""primary exponential cutoff power-law continuum"", ""Comptonisation continuum"", ""hot corona geometries"", ""AGN""]
}"
2018ApJ...854..167G__Meece_et_al._2017_Instance_1	"{
""Task"": [""nonlinear condensation process"", ""chaotic cold accretion"", ""feedback response"", ""dynamical state of the multiphase halos""],
""Material"": [""gaseous halos"", ""galaxies"", ""groups"", ""clusters"", ""plasma"", ""hot plasma halo"", ""supermassive black hole"", ""SMBH""],
""Technique"": [],
""Process"": [""condensation cascade"", ""accretion"", ""feeding process""],
""Measure"": [""buoyancy oscillations"", ""entropy of the halo"", ""cooling time"", ""accretion rates""],
""Concept"": [""thermal instability"", ""TI"", ""multiphase rain"", ""chaotic multiphase rain"", ""angular momentum"", ""turbulence"", ""multiphase gas"", ""cosmic structures""]
}"
2021MNRAS.504.4626K__Kraljic_et_al._2020b_Instance_4	"{
""Task"": [""galaxy spin transition"", ""spin alignment signal"", ""mass dependence""],
""Material"": [""large-scale cosmological hydrodynamical simulations"", ""galaxies"", ""cosmic web filaments"", ""walls""],
""Technique"": [""cosmological hydrodynamical simulations""],
""Process"": [],
""Measure"": [""stellar mass"", ""filament density""],
""Concept"": [""spin orientation"", ""multiscale nature"", ""conditional TTT"", ""large-scale tides"", ""galaxy spin"", ""filament’s direction"", ""galaxy spin transition"", ""spin-filament alignment"", ""internal properties of galaxies""]
}"
2017MNRAS.471.2917K__Glenn_et_al._2015_Instance_1	"{
""Task"": [""access the transitions"", ""discern the lower and higher excitation components"", ""measure the excitation"", ""better understand energy exchange""],
""Material"": [""Herschel Space Observatory"", ""Herschel SPIRE Fourier Transform Spectrometer (FTS)"", ""CO"", ""molecular ISM"", ""galaxies""],
""Technique"": [""Fourier Transform Spectrometer (FTS)""],
""Process"": [""get above the atmosphere"", ""trace warmer molecular gas"", ""more finely discern"", ""more finely measure""],
""Measure"": [""CO luminosity"", ""J = 4−3"", ""EJ = 4 = 55 K"", ""J = 13−12"", ""EJ = 13 = 503 K"", ""CO J = 1−0""],
""Concept"": [""multiphase molecular ISM"", ""energy exchange"", ""star formation"", ""photon-dominated regions (PDRs)"", ""hydrodynamical galaxy simulations"", ""galaxy-integrated spectral line energy distributions (SLEDs)""]
}"
2016AandA...592A..19C__Johansson_et_al._2012a_Instance_1	"{
""Task"": [""galaxy size"", ""stellar mass density""],
""Material"": [""galaxies"", ""parent sample"", ""passive ETGs"", ""progenitors""],
""Technique"": [],
""Process"": [],
""Measure"": [""median Re"", ""log(M/M)""],
""Concept"": [""stellar mass"", ""stellar populations"", ""baryonic matter density"", ""cosmic time"", ""cosmic epochs"", ""elliptical galaxy formation"", ""compact galaxies"", ""dry mergers""]
}"
2022AandA...665A.115C__Clark_&_Steele_(2000)_Instance_1	"Here is the output in JSON format:

{
""Task"": [""near-IR spectra of Be stars""],
""Material"": [""Be stars"", ""J band"", ""H band"", ""K band"", ""L band"", ""APOGEE""],
""Technique"": [""spectroscopy"", ""high-resolution spectroscopy""],
""Process"": [""analysis of the strength ratio"", ""analysis of the emission strength"", ""peak intensity ratio"", ""peak separation""],
""Measure"": [""spectral resolution"", ""equivalent widths (EW)""],
""Concept"": [""circumstellar disc"", ""infrared characteristics"", ""underlying properties of the stars"", ""density of the emitting gas"", ""density of the disc""]
}"
2020MNRAS.499..710G__Assef_et_al._2015_Instance_1	"{
""Task"": [""reduce the fraction of X-ray sources"", ""select heavily obscured and hence, X-ray faint, sources"", ""study of the X-ray spectral properties of WISE-selected AGN""],
""Material"": [""WISE R75 wedge"", ""SDSS spectroscopic follow-up programme"", ""COSMOS-Legacy"", ""X-ray survey fields""],
""Technique"": [""X-ray luminosity function"", ""diagnostic optical emission-line ratios""],
""Process"": [""relaxing the above model assumptions"", ""separating star-forming galaxies from Seyfert-2s"", ""accounting for the relatively high level of contamination""],
""Measure"": [""X-ray obscuration"", ""optical extinction"", ""X-ray flux distribution"", ""r-band distribution""],
""Concept"": [""Compton-thick AGN"", ""heavily obscured AGN"", ""nuclear activity"", ""line-of-sight obscuration"", ""star-forming galaxies"", ""Seyfert-2s"", ""redshift""]
}"
2015ApJ...813...47M__Morley_et_al._2012_Instance_1	"Here is the output in JSON format:

{
""Task"": [""consequences of a potential rainout for a planetary atmosphere""],
""Material"": [""planetary atmosphere"", ""metals"", ""grain"", ""droplet"", ""cloud particles"", ""silicate material"", ""alkali atoms"", ""alkali feldspars"", ""brown dwarf atmospheres"", ""cloud deck"", ""planet's intrinsic flux""],
""Technique"": [""chemical equilibrium solution"", ""condensation model""],
""Process"": [""rainout"", ""condensation"", ""evaporation"", ""chemical reaction""],
""Measure"": [""temperature"", ""opacity"", ""pressure"", ""effective temperature"", ""surface gravity"", ""optical depth"", ""spectral appearance"", ""contrast of absorption features""],
""Concept"": [""deep layers"", ""higher atmospheric layers"", ""chemical contact"", ""gas abundances"", ""silicate rainout scenario"", ""cloud deck formation"", ""spectral imprint"", ""photosphere""]
}"
2015ApJ...815...15W__Dib_&_Kaspi_2014_Instance_1	"{
""Task"": [""X-ray emitter analysis""],
""Material"": [""NuSTAR"", ""Swift XRT"", ""XMM-Newton"", ""INTEGRAL""],
""Technique"": [""spectral extraction"", ""joint fit"", ""STEMS3D+PL model""],
""Process"": [""background spectral extraction"", ""spectral fitting"", ""data stacking""],
""Measure"": [""photon index"", ""twist angle"", ""electron velocities"", ""photon flux"", ""energy range""],
""Concept"": [""supernova remnant"", ""magnetosphere"", ""interstellar absorption"", ""non-thermal component"", ""thermal component""]
}"
2018ApJ...866L...1S__Pecharromán_et_al._1999_Instance_6	"{
""Material"": [""bayerite"", ""boehmite"", ""θ-alumina"", ""δ-alumina"", ""α-alumina"", ""pellets"", ""powders""],
""Technique"": [""complex dielectric function"", ""effective medium theory"", ""reflectance spectra"", ""XRD"", ""infrared spectroscopy"", ""NMR spectroscopy""],
""Process"": [""heating"", ""modeling"", ""pressing""],
""Measure"": [""opacity"", ""depolarization parameters"", ""μm features"", ""width""],
""Concept"": [""dielectric function"", ""spheroid"", ""depolarization"", ""OH− stretching bands""]
}"
2022AandA...661A..10B__Ghirardini_et_al._2021a_Instance_4	"{
""Task"": [""estimation of dynamical properties"", ""comparison of distributions"", ""detection of clusters""],
""Material"": [""point source sample"", ""extent-selected sample"", ""V06 model""],
""Technique"": [""detection algorithm"", ""extent selection""],
""Process"": [""estimation"", ""comparison"", ""application of cuts""],
""Measure"": [""core radii"", ""concentration parameter"", ""flux"", ""detection likelihood"", ""number density""],
""Concept"": [""cool-core clusters"", ""central AGN"", ""SZ surveys"", ""compactness"", ""surface brightness""]
}"
2021MNRAS.502.1933S__Hayashi_et_al._2007_Instance_1	"{
""Task"": [""clustering analysis""],
""Material"": [""observation data"", ""sgzK galaxies"", ""Ks-band magnitude-limited sgzKs"", ""sub-regions""],
""Technique"": [""two-point correlation function"", ""least-squares fit procedure"", ""mpfit""],
""Process"": [""correction"", ""fitting"", ""estimation of the error""],
""Measure"": [""slope parameter δ"", ""amplitudes of two-point correlation functions"", ""error"", ""uncertainty of two-point correlation function due to cosmic variance""],
""Concept"": [""power-law correlation function"", ""integral constraint"", ""dark matter halo model"", ""one-halo term"", ""two-halo term"", ""cosmic variance"", ""clustering strength""]
}"
2016MNRAS.461.4406A__Santos_et_al._2015_Instance_1	"Here is the output in JSON format:

{
""Task"": [""migration rates"", ""orbital evolution""],
""Material"": [""HD 155358"", ""disc models"", ""exteriors disc models"", ""inner gaseous disc"", ""residual disc of planetesimals""],
""Technique"": [],
""Process"": [""migration"", ""resonance"", ""eccentricity damping""],
""Measure"": [""eccentricity"", ""migration rates"", ""mass"", ""steady-state accretion rate""],
""Concept"": [""resonance"", ""orbital evolution"", ""planet migration"", ""eccentricity"", ""disc model""]
}"
2017MNRAS.470..755H__Cox_et_al._2008_Instance_1	"{
""Concept"": [""Supermassive black holes"", ""galaxies"", ""active galactic nuclei"", ""galaxy morphology"", ""starbursts"", ""tidal tails"", ""shells of expelled gas and stars""],
""Material"": [""gas""],
""Task"": [""detecting the link between major mergers and SMBH accretion""],
""Technique"": [],
""Process"": [""gas accretion"", ""rapid accretion"", ""inflow of gas"", ""displacement of angular momentum"", ""triggering of nuclear and global starbursts"", ""disruption of morphologies"", ""relaxation time-scale""],
""Measure"": [""bolometric luminosities"", ""accretion rates"", ""angular momentum""]
}"
2022AandA...659A..85F__Jeffries_et_al._2014_Instance_1	"{
""Material"": [""GES"", ""Gaia Second Data Release"", ""DR2""],
""Task"": [""investigate how it evolves with age"", ""apply our analysis""],
""Concept"": [""radius inflation"", ""PMS stars"", ""Orion OB1a association"", ""Vela OB2 association"", ""kinematically distinct populations"", ""main-sequence position"", ""metallicities""],
""Technique"": []
}"
2017ApJ...835....2X__Collins_et_al._2012_Instance_1	"{
""Task"": [""understanding of the interstellar electron density structure"", ""investigation on density statistics""],
""Material"": [""interstellar electron density"", ""magnetohydrodynamic (MHD) turbulence"", ""astrophysical fluids"", ""ISM""],
""Technique"": [""power-law model"", ""MHD numerical simulations""],
""Process"": [""radio wave propagation"", ""star formation""],
""Measure"": [""density power spectrum"", ""sonic Mach number"", ""turbulent velocity"", ""sound speed""],
""Concept"": [""pulse broadening phenomenon"", ""electron density fluctuations"", ""magnetohydrodynamic (MHD) turbulence"", ""compressible astrophysical fluids"", ""supersonic turbulence"", ""shocks"", ""local density enhancements""]
}"
2022MNRAS.512.4573F__Sana_et_al._2012_Instance_1	"{
""Task"": [""investigate a broader range of rotational velocities and metallicities""],
""Material"": [""Modules for Experiments in Stellar Astrophysics (mesa)"", ""Tarantula Nebula"", ""Large Magellanic Cloud (LMC)""],
""Technique"": [""stellar-evolution code""],
""Process"": [""mass transfer"", ""material is exchanged between the companions"", ""outermost layers of the donor are stripped off"", ""eventually accreted on to the secondary star"", ""interaction and mass exchange"", ""merger events""],
""Measure"": [""initial masses"", ""rotational velocities"", ""metallicities"", ""mass-loss"", ""rotation rates of stars""],
""Concept"": [""stellar evolution"", ""binary systems"", ""stellar multiplicity"", ""stellar feedback"", ""radiative feedback"", ""hydrogen- and helium-ionizing photons"", ""stellar population"", ""stripped helium stars"", ""Lyman limit""]
}"
2020MNRAS.492.4727C__Rees_1976_Instance_1	"Here is the output in JSON format:

{
""Concept"": [""interstellar medium"", ""Jeans mass"", ""opacity limit"", ""characteristic mass scale"", ""ISM"", ""adiabatic"", ""stellar densities""],
""Material"": [""gas"", ""dust"", ""molecular clouds""],
""Measure"": [""Jeans radius"", ""optical depth"", ""density"", ""mass"", ""temperature"", ""sound speed"", ""free-fall time""],
""Technique"": [""collapse condition"", ""fragmentation""],
""Process"": [""collapse"", ""fragmentation"", ""gas evolution""]
}"
2018ApJ...866...48U__Plagge_et_al._2013_Instance_1	"{
""Material"": [""ROSAT"", ""James Clerk Maxwell Telescope"", ""Nobeyama Radio Telescope"", ""Nobeyama Bolometer Array"", ""Chandra"", ""XMM-Newton""],
""Technique"": [""Sunyaev-Zel'dovich effect"", ""weak-lensing analysis""],
""Concept"": [""relaxed cluster"", ""substructure"", ""soft X-ray image"", ""ICM"", ""cool core"", ""galaxy cluster"", ""radial profile"", ""spatial distribution"", ""gravitational lensing maps"", ""radio synchrotron observations""],
""Measure"": [""redshift"", ""angular resolution"", ""mean temperature"", ""total mass"", ""critical density of the universe"", ""Hubble constant""],
""Process"": [""observation"", ""measurement""]
}"
2017MNRAS.464..968S__Tacconi_et_al._2006_Instance_1	"{
""Task"": [""Comparison of apparent effective diameters""],
""Material"": [""ALMA observations"", ""SCUBA-2-selected SMGs"", ""AzTEC-selected SMGs"", ""SPT-selected lensed SMGs"", ""DSFG sample"", ""FIR"", ""CO detection"", ""1.4 GHz imaging""],
""Technique"": [""ALMA"", ""lensing analysis""],
""Process"": [""photometrically derived""],
""Measure"": [""apparent effective diameter"", ""physical half-light diameter"", ""median physical half-light diameter"", ""mean physical half-light diameter"", ""FIR sizes"", ""submillimetre sizes"", ""12CO detected sizes"", ""1.4 GHz imaging sizes"", ""submillimetre continuum sizes"", ""1.4 GHz continuum sizes""],
""Concept"": [""SMGs"", ""physical sizes"", ""cosmic ray diffusion"", ""local galaxies"", ""lensing"", ""multiplicity"", ""intrinsic diameters""]
}"
